Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-07,Scunthorpe vs Swindon,2021_22,league2,Home,-15,2.5,3.01,✅ Good,loss,-1.0
2021-08-07,Forest Green vs Sutton,2021_22,league2,Home,9,1.57,1.84,✅ Good,win,0.84
2021-08-07,Harrogate vs Rochdale,2021_22,league2,Away,-10,2.33,3.06,✅ Good,loss,-1.0
2021-08-07,Tranmere vs Walsall,2021_22,league2,Draw,2,2.94,3.31,✅ Fair,loss,-1.0
2021-08-07,Tranmere vs Walsall,2021_22,league2,Away,2,3.42,3.63,✅ Fair,loss,-1.0
2021-08-07,Stevenage vs Barrow,2021_22,league2,Away,3,2.92,3.37,✅ Fair,loss,-1.0
2021-08-07,Exeter vs Bradford,2021_22,league2,Home,8,2.21,2.32,✅ Fair,loss,-1.0
2021-08-07,Salford vs Leyton Orient,2021_22,league2,Away,12,2.57,3.96,✅ Excellent,loss,-1.0
2021-08-07,Hartlepool vs Crawley Town,2021_22,league2,Draw,-4,2.79,3.24,✅ Good,loss,-1.0
2021-08-07,Hartlepool vs Crawley Town,2021_22,league2,Away,-4,3.19,3.22,✅ Fair,loss,-1.0
2021-08-07,Carlisle vs Colchester,2021_22,league2,Away,0,2.77,3.5,✅ Good,loss,-1.0
2021-08-07,Mansfield vs Bristol Rvs,2021_22,league2,Draw,2,2.94,3.21,✅ Fair,loss,-1.0
2021-08-07,Oldham vs Newport County,2021_22,league2,Away,-8,2.4,2.65,✅ Fair,win,1.65
2021-08-14,Bristol Rvs vs Stevenage,2021_22,league2,Away,3,2.92,3.08,✅ Fair,win,2.08
2021-08-14,Colchester vs Northampton,2021_22,league2,Home,0,2.25,2.58,✅ Good,loss,-1.0
2021-08-14,Bradford vs Oldham,2021_22,league2,Draw,1,3.28,3.45,✅ Fair,loss,-1.0
2021-08-14,Bradford vs Oldham,2021_22,league2,Away,1,3.75,4.69,✅ Good,loss,-1.0
2021-08-14,Barrow vs Hartlepool,2021_22,league2,Home,1,2.33,2.47,✅ Fair,win,1.47
2021-08-14,Walsall vs Forest Green,2021_22,league2,Home,-7,2.56,2.76,✅ Fair,loss,-1.0
2021-08-14,Salford vs Sutton,2021_22,league2,Home,13,1.6,1.86,✅ Good,loss,-1.0
2021-08-14,Salford vs Sutton,2021_22,league2,Away,13,4.0,4.15,✅ Fair,loss,-1.0
2021-08-14,Port Vale vs Tranmere,2021_22,league2,Draw,-4,2.79,3.23,✅ Fair,win,2.23
2021-08-14,Mansfield vs Newport County,2021_22,league2,Away,1,3.75,4.09,✅ Fair,loss,-1.0
2021-08-14,Leyton Orient vs Exeter,2021_22,league2,Away,-7,2.88,3.04,✅ Fair,loss,-1.0
2021-08-14,Swindon vs Carlisle,2021_22,league2,Home,5,2.41,2.82,✅ Good,loss,-1.0
2021-08-17,Swindon vs Tranmere,2021_22,league2,Draw,2,2.94,3.32,✅ Fair,win,2.32
2021-08-17,Crawley Town vs Salford,2021_22,league2,Home,-10,3.11,3.82,✅ Good,win,2.82
2021-08-17,Rochdale vs Forest Green,2021_22,league2,Home,-2,2.07,3.07,✅ Excellent,loss,-1.0
2021-08-17,Rochdale vs Forest Green,2021_22,league2,Draw,-2,3.03,3.28,✅ Fair,loss,-1.0
2021-08-17,Barrow vs Exeter,2021_22,league2,Home,1,2.33,2.41,✅ Fair,loss,-1.0
2021-08-17,Walsall vs Scunthorpe,2021_22,league2,Away,4,3.65,4.13,✅ Fair,loss,-1.0
2021-08-17,Bradford vs Stevenage,2021_22,league2,Away,-7,2.88,3.45,✅ Good,loss,-1.0
2021-08-17,Port Vale vs Carlisle,2021_22,league2,Draw,-4,2.79,3.18,✅ Fair,win,2.18
2021-08-17,Bristol Rvs vs Oldham,2021_22,league2,Draw,7,3.35,3.54,✅ Fair,loss,-1.0
2021-08-17,Colchester vs Mansfield,2021_22,league2,Away,-8,2.4,2.41,✅ Fair,loss,-1.0
2021-08-21,Scunthorpe vs Sutton,2021_22,league2,Home,-2,2.07,2.89,✅ Excellent,loss,-1.0
2021-08-21,Scunthorpe vs Sutton,2021_22,league2,Draw,-2,3.03,3.18,✅ Fair,win,2.18
