Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-06,Monaco vs Nantes,2021_22,ligue1,Draw,-4,3.47,4.49,✅ Good,win,3.49
2021-08-06,Monaco vs Nantes,2021_22,ligue1,Away,-4,2.6,6.46,✅ Excellent,loss,-1.0
2021-08-07,Lyon vs Brest,2021_22,ligue1,Away,11,3.75,8.11,✅ Excellent,loss,-1.0
2021-08-07,Troyes vs Paris SG,2021_22,ligue1,Home,-16,6.0,10.99,✅ Excellent,loss,-1.0
2021-08-08,Strasbourg vs Angers,2021_22,ligue1,Draw,5,2.5,3.42,✅ Good,loss,-1.0
2021-08-08,Bordeaux vs Clermont,2021_22,ligue1,Draw,2,2.75,3.39,✅ Good,loss,-1.0
2021-08-08,Nice vs Reims,2021_22,ligue1,Away,6,3.43,4.18,✅ Good,loss,-1.0
2021-08-08,Metz vs Lille,2021_22,ligue1,Home,-9,4.0,5.41,✅ Good,loss,-1.0
2021-08-08,Metz vs Lille,2021_22,ligue1,Away,-9,1.71,1.74,✅ Fair,loss,-1.0
2021-08-08,Montpellier vs Marseille,2021_22,ligue1,Draw,-4,3.47,3.47,✅ Fair,loss,-1.0
2021-08-08,Rennes vs Lens,2021_22,ligue1,Draw,13,2.5,3.5,✅ Good,win,2.5
2021-08-08,Rennes vs Lens,2021_22,ligue1,Away,13,2.5,3.71,✅ Excellent,loss,-1.0
2021-08-08,St Etienne vs Lorient,2021_22,ligue1,Home,-3,2.11,2.24,✅ Fair,loss,-1.0
2021-08-13,Lorient vs Monaco,2021_22,ligue1,Home,1,2.14,4.21,✅ Excellent,win,3.21
2021-08-14,Lille vs Nice,2021_22,ligue1,Home,7,1.4,1.84,✅ Excellent,loss,-1.0
2021-08-14,Paris SG vs Strasbourg,2021_22,ligue1,Draw,12,6.0,7.25,✅ Good,loss,-1.0
2021-08-14,Paris SG vs Strasbourg,2021_22,ligue1,Away,12,6.0,13.36,✅ Excellent,loss,-1.0
2021-08-15,Brest vs Rennes,2021_22,ligue1,Away,-9,1.71,2.36,✅ Excellent,loss,-1.0
2021-08-15,Reims vs Montpellier,2021_22,ligue1,Draw,-6,3.0,3.18,✅ Fair,win,2.18
2021-08-15,Reims vs Montpellier,2021_22,ligue1,Away,-6,2.7,2.79,✅ Fair,loss,-1.0
2021-08-15,Nantes vs Metz,2021_22,ligue1,Home,12,1.5,2.33,✅ Excellent,win,1.33
2021-08-15,Angers vs Lyon,2021_22,ligue1,Home,-5,1.89,4.35,✅ Excellent,win,3.35
2021-08-15,Lens vs St Etienne,2021_22,ligue1,Draw,-6,3.0,3.52,✅ Good,win,2.52
2021-08-15,Lens vs St Etienne,2021_22,ligue1,Away,-6,2.7,3.61,✅ Good,loss,-1.0
2021-08-15,Marseille vs Bordeaux,2021_22,ligue1,Draw,6,3.69,4.3,✅ Fair,win,3.3
2021-08-15,Marseille vs Bordeaux,2021_22,ligue1,Away,6,3.43,6.02,✅ Excellent,loss,-1.0
2021-08-15,Clermont vs Troyes,2021_22,ligue1,Draw,3,2.52,3.48,✅ Good,loss,-1.0
2021-08-20,Brest vs Paris SG,2021_22,ligue1,Home,-16,6.0,10.79,✅ Excellent,loss,-1.0
2021-08-20,Brest vs Paris SG,2021_22,ligue1,Draw,-16,6.0,6.06,✅ Fair,loss,-1.0
2021-08-21,St Etienne vs Lille,2021_22,ligue1,Home,-1,2.48,3.05,✅ Good,loss,-1.0
2021-08-21,Monaco vs Lens,2021_22,ligue1,Home,7,1.4,1.77,✅ Excellent,loss,-1.0
2021-08-22,Rennes vs Nantes,2021_22,ligue1,Away,-11,1.71,4.25,✅ Excellent,loss,-1.0
2021-08-22,Lyon vs Clermont,2021_22,ligue1,Draw,3,2.52,4.21,✅ Excellent,win,3.21
2021-08-22,Metz vs Reims,2021_22,ligue1,Home,4,2.09,2.35,✅ Fair,loss,-1.0
2021-08-22,Montpellier vs Lorient,2021_22,ligue1,Away,-1,2.79,3.42,✅ Good,loss,-1.0
2021-08-27,Nantes vs Lyon,2021_22,ligue1,Home,5,2.35,4.68,✅ Excellent,loss,-1.0
2021-08-27,Nantes vs Lyon,2021_22,ligue1,Draw,5,2.5,3.98,✅ Excellent,loss,-1.0
2021-08-28,Marseille vs St Etienne,2021_22,ligue1,Away,1,3.57,4.77,✅ Good,loss,-1.0
2021-08-28,Nice vs Bordeaux,2021_22,ligue1,Draw,3,2.52,3.98,✅ Excellent,loss,-1.0
2021-08-29,Reims vs Paris SG,2021_22,ligue1,Home,-17,7.0,15.48,✅ Excellent,loss,-1.0
2021-08-29,Reims vs Paris SG,2021_22,ligue1,Draw,-17,3.5,7.74,✅ Excellent,loss,-1.0
2021-08-29,Clermont vs Metz,2021_22,ligue1,Home,7,1.4,1.79,✅ Excellent,loss,-1.0
2021-08-29,Lens vs Lorient,2021_22,ligue1,Away,-1,2.79,4.82,✅ Excellent,loss,-1.0
2021-08-29,Strasbourg vs Brest,2021_22,ligue1,Draw,2,2.75,3.37,✅ Good,loss,-1.0
2021-08-29,Troyes vs Monaco,2021_22,ligue1,Home,-5,1.89,4.29,✅ Excellent,loss,-1.0
2021-08-29,Lille vs Montpellier,2021_22,ligue1,Away,-3,3.69,4.98,✅ Good,loss,-1.0
2021-08-29,Angers vs Rennes,2021_22,ligue1,Home,4,2.09,2.9,✅ Good,win,1.9
2021-09-10,Lorient vs Lille,2021_22,ligue1,Home,2,2.29,3.4,✅ Excellent,win,2.4
2021-09-10,Lorient vs Lille,2021_22,ligue1,Draw,2,2.75,3.26,✅ Good,loss,-1.0
2021-09-11,Paris SG vs Clermont,2021_22,ligue1,Away,11,3.75,10.92,✅ Excellent,loss,-1.0
2021-09-11,Monaco vs Marseille,2021_22,ligue1,Draw,-4,3.47,3.61,✅ Fair,loss,-1.0
2021-09-11,Monaco vs Marseille,2021_22,ligue1,Away,-4,2.6,3.52,✅ Good,win,2.52
2021-09-12,Lyon vs Strasbourg,2021_22,ligue1,Away,0,2.81,5.89,✅ Excellent,loss,-1.0
2021-09-12,Metz vs Troyes,2021_22,ligue1,Home,3,2.21,2.28,✅ Fair,loss,-1.0
2021-09-12,Metz vs Troyes,2021_22,ligue1,Draw,3,2.52,3.3,✅ Good,loss,-1.0
2021-09-12,Bordeaux vs Lens,2021_22,ligue1,Home,-1,2.48,3.19,✅ Good,loss,-1.0
2021-09-12,Nantes vs Nice,2021_22,ligue1,Home,-5,1.89,3.31,✅ Excellent,loss,-1.0
2021-09-12,Montpellier vs St Etienne,2021_22,ligue1,Home,4,2.09,2.59,✅ Good,win,1.59
2021-09-12,Brest vs Angers,2021_22,ligue1,Away,-11,1.71,2.68,✅ Excellent,loss,-1.0
2021-09-12,Rennes vs Reims,2021_22,ligue1,Home,7,1.4,1.67,✅ Good,loss,-1.0
2021-09-17,Strasbourg vs Metz,2021_22,ligue1,Away,0,2.81,4.3,✅ Excellent,loss,-1.0
2021-09-18,St Etienne vs Bordeaux,2021_22,ligue1,Away,1,3.57,4.04,✅ Fair,win,3.04
2021-09-18,Lens vs Lille,2021_22,ligue1,Home,6,2.29,2.54,✅ Fair,win,1.54
2021-09-19,Paris SG vs Lyon,2021_22,ligue1,Away,14,4.0,8.19,✅ Excellent,loss,-1.0
2021-09-19,Marseille vs Rennes,2021_22,ligue1,Home,7,1.4,1.95,✅ Excellent,win,0.95
2021-09-19,Troyes vs Montpellier,2021_22,ligue1,Draw,-6,3.0,3.47,✅ Fair,win,2.47
2021-09-19,Troyes vs Montpellier,2021_22,ligue1,Away,-6,2.7,2.73,✅ Fair,loss,-1.0
2021-09-19,Reims vs Lorient,2021_22,ligue1,Away,-1,2.79,3.31,✅ Good,loss,-1.0
2021-09-19,Clermont vs Brest,2021_22,ligue1,Draw,5,2.5,3.78,✅ Excellent,win,2.78
2021-09-19,Angers vs Nantes,2021_22,ligue1,Home,9,1.67,2.11,✅ Good,loss,-1.0
2021-09-19,Angers vs Nantes,2021_22,ligue1,Draw,9,3.0,3.32,✅ Fair,loss,-1.0
2021-09-19,Nice vs Monaco,2021_22,ligue1,Draw,13,2.5,3.36,✅ Good,win,2.36
2021-09-19,Nice vs Monaco,2021_22,ligue1,Away,13,2.5,2.63,✅ Fair,loss,-1.0
2021-09-22,Rennes vs Clermont,2021_22,ligue1,Home,-5,1.89,2.01,✅ Fair,win,1.01
2021-09-22,Lorient vs Nice,2021_22,ligue1,Away,-11,1.71,2.26,✅ Excellent,loss,-1.0
