Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-13,Brentford vs Arsenal,2021_22,premierleague,Away,-14,1.5,2.02,✅ Excellent,loss,-1.0
2021-08-14,Watford vs Aston Villa,2021_22,premierleague,Away,-8,1.86,2.41,✅ Good,loss,-1.0
2021-08-14,Leicester vs Wolves,2021_22,premierleague,Home,4,1.55,1.71,✅ Good,win,0.71
2021-08-14,Leicester vs Wolves,2021_22,premierleague,Away,4,5.0,5.32,✅ Fair,loss,-1.0
2021-08-14,Everton vs Southampton,2021_22,premierleague,Away,-2,2.15,4.04,✅ Excellent,loss,-1.0
2021-08-14,Burnley vs Brighton,2021_22,premierleague,Away,-2,2.15,2.49,✅ Good,win,1.49
2021-08-14,Chelsea vs Crystal Palace,2021_22,premierleague,Draw,8,4.5,5.92,✅ Good,loss,-1.0
2021-08-14,Chelsea vs Crystal Palace,2021_22,premierleague,Away,8,4.5,12.8,✅ Excellent,loss,-1.0
2021-08-14,Man United vs Leeds,2021_22,premierleague,Away,-8,1.86,5.87,✅ Excellent,loss,-1.0
2021-08-15,Newcastle vs West Ham,2021_22,premierleague,Away,-2,2.15,2.26,✅ Fair,win,1.26
2021-08-15,Tottenham vs Man City,2021_22,premierleague,Home,-1,2.42,5.49,✅ Excellent,win,4.49
2021-08-21,Aston Villa vs Newcastle,2021_22,premierleague,Draw,-2,3.73,3.92,✅ Fair,loss,-1.0
2021-08-21,Aston Villa vs Newcastle,2021_22,premierleague,Away,-2,2.15,4.25,✅ Excellent,loss,-1.0
2021-08-21,Crystal Palace vs Brentford,2021_22,premierleague,Home,-3,2.17,2.61,✅ Good,loss,-1.0
2021-08-21,Crystal Palace vs Brentford,2021_22,premierleague,Away,-3,2.63,2.9,✅ Fair,loss,-1.0
2021-08-21,Leeds vs Everton,2021_22,premierleague,Home,6,2.17,2.37,✅ Fair,loss,-1.0
2021-08-21,Brighton vs Watford,2021_22,premierleague,Home,5,1.54,1.74,✅ Good,win,0.74
2021-08-22,Arsenal vs Chelsea,2021_22,premierleague,Home,2,1.93,4.76,✅ Excellent,loss,-1.0
2021-08-22,Southampton vs Man United,2021_22,premierleague,Home,-9,4.6,5.36,✅ Fair,loss,-1.0
2021-08-22,Southampton vs Man United,2021_22,premierleague,Draw,-9,2.88,4.26,✅ Good,win,3.26
2021-08-22,Wolves vs Tottenham,2021_22,premierleague,Home,-10,2.55,3.2,✅ Good,loss,-1.0
2021-08-23,West Ham vs Leicester,2021_22,premierleague,Home,10,1.48,2.58,✅ Excellent,win,1.58
2021-08-28,Newcastle vs Southampton,2021_22,premierleague,Home,3,1.83,2.52,✅ Excellent,loss,-1.0
2021-08-28,Norwich vs Leicester,2021_22,premierleague,Away,-14,1.5,1.9,✅ Excellent,win,0.9
2021-08-28,West Ham vs Crystal Palace,2021_22,premierleague,Home,17,1.25,1.58,✅ Excellent,loss,-1.0
2021-08-28,West Ham vs Crystal Palace,2021_22,premierleague,Away,17,5.0,6.29,✅ Good,loss,-1.0
2021-08-28,Brighton vs Everton,2021_22,premierleague,Home,4,1.55,2.35,✅ Excellent,loss,-1.0
2021-08-28,Aston Villa vs Brentford,2021_22,premierleague,Home,4,1.55,2.0,✅ Excellent,loss,-1.0
2021-08-28,Liverpool vs Chelsea,2021_22,premierleague,Home,8,1.8,2.5,✅ Excellent,loss,-1.0
2021-08-28,Man City vs Arsenal,2021_22,premierleague,Draw,5,5.71,6.16,✅ Fair,loss,-1.0
2021-08-28,Man City vs Arsenal,2021_22,premierleague,Away,5,5.71,11.99,✅ Excellent,loss,-1.0
2021-08-29,Burnley vs Leeds,2021_22,premierleague,Home,-15,3.0,3.07,✅ Fair,loss,-1.0
2021-08-29,Burnley vs Leeds,2021_22,premierleague,Away,-15,1.8,2.33,✅ Good,loss,-1.0
2021-08-29,Tottenham vs Watford,2021_22,premierleague,Away,10,5.67,8.42,✅ Good,loss,-1.0
2021-08-29,Wolves vs Man United,2021_22,premierleague,Home,-7,3.22,4.91,✅ Excellent,loss,-1.0
2021-09-11,Leicester vs Man City,2021_22,premierleague,Home,-17,4.0,5.7,✅ Good,loss,-1.0
2021-09-11,Chelsea vs Aston Villa,2021_22,premierleague,Draw,2,4.0,5.46,✅ Good,loss,-1.0
2021-09-11,Chelsea vs Aston Villa,2021_22,premierleague,Away,2,4.31,11.28,✅ Excellent,loss,-1.0
2021-09-11,Watford vs Wolves,2021_22,premierleague,Away,-2,2.15,2.33,✅ Fair,win,1.33
2021-09-11,Southampton vs West Ham,2021_22,premierleague,Away,-15,1.8,2.47,✅ Excellent,loss,-1.0
2021-09-11,Arsenal vs Norwich,2021_22,premierleague,Home,13,1.44,1.52,✅ Fair,win,0.52
2021-09-11,Arsenal vs Norwich,2021_22,premierleague,Draw,13,4.33,4.48,✅ Fair,loss,-1.0
2021-09-11,Crystal Palace vs Tottenham,2021_22,premierleague,Away,-12,1.56,1.95,✅ Good,loss,-1.0
2021-09-11,Man United vs Newcastle,2021_22,premierleague,Draw,6,4.33,7.27,✅ Excellent,loss,-1.0
2021-09-11,Man United vs Newcastle,2021_22,premierleague,Away,6,3.25,14.77,✅ Excellent,loss,-1.0
2021-09-11,Brentford vs Brighton,2021_22,premierleague,Home,-1,2.42,2.86,✅ Good,loss,-1.0
2021-09-11,Brentford vs Brighton,2021_22,premierleague,Away,-1,2.33,2.69,✅ Good,win,1.69
2021-09-12,Leeds vs Liverpool,2021_22,premierleague,Home,-7,3.22,4.34,✅ Good,loss,-1.0
2021-09-12,Leeds vs Liverpool,2021_22,premierleague,Draw,-7,3.62,4.05,✅ Fair,loss,-1.0
2021-09-13,Everton vs Burnley,2021_22,premierleague,Home,10,1.48,1.75,✅ Good,win,0.75
2021-09-17,Newcastle vs Leeds,2021_22,premierleague,Home,-1,2.42,3.01,✅ Good,loss,-1.0
2021-09-18,Burnley vs Arsenal,2021_22,premierleague,Home,-5,3.07,3.82,✅ Good,loss,-1.0
2021-09-18,Wolves vs Brentford,2021_22,premierleague,Away,-2,2.15,4.83,✅ Excellent,win,3.83
2021-09-18,Norwich vs Watford,2021_22,premierleague,Away,-8,1.86,3.47,✅ Excellent,win,2.47
2021-09-18,Liverpool vs Crystal Palace,2021_22,premierleague,Away,17,5.0,14.04,✅ Excellent,loss,-1.0
2021-09-18,Aston Villa vs Everton,2021_22,premierleague,Away,-2,2.15,3.06,✅ Excellent,loss,-1.0
