Date,Fixture,Season,Market,Selection,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-06,Bournemouth vs West Brom,2021_22,Home,Bournemouth,-1,2.1034,2.31,✅ Fair,loss,-1.0
2021-08-07,Sheffield United vs Birmingham,2021_22,Draw,Draw,10,3.1111,3.45,✅ Fair,loss,-1.0
2021-08-07,Cardiff vs Barnsley,2021_22,Home,Cardiff,5,2.1143,2.28,✅ Fair,loss,-1.0
2021-08-07,QPR vs Millwall,2021_22,Home,QPR,11,1.6,2.1,✅ Excellent,loss,-1.0
2021-08-07,Blackburn vs Swansea,2021_22,Draw,Draw,6,3.0,3.29,✅ Fair,loss,-1.0
2021-08-07,Blackburn vs Swansea,2021_22,Away,Swansea,6,2.8696,3.53,✅ Good,loss,-1.0
2021-08-07,Derby vs Huddersfield,2021_22,Home,Derby,-4,2.1351,4.64,✅ Excellent,loss,-1.0
2021-08-07,Luton vs Peterboro,2021_22,Draw,Draw,0,3.2973,3.42,✅ Fair,loss,-1.0
2021-08-07,Bristol City vs Blackpool,2021_22,Draw,Draw,-7,3.2,3.32,✅ Fair,win,2.32
2021-08-07,Bristol City vs Blackpool,2021_22,Away,Blackpool,-7,3.2,3.3,✅ Fair,loss,-1.0
2021-08-07,Stoke vs Reading,2021_22,Away,Reading,2,3.7,3.75,✅ Fair,loss,-1.0
2021-08-08,Fulham vs Middlesbrough,2021_22,Home,Fulham,9,1.75,1.92,✅ Fair,loss,-1.0
2021-08-08,Coventry vs Nott'm Forest,2021_22,Home,Coventry,11,1.6,2.51,✅ Excellent,win,1.51
2021-08-14,Millwall vs Blackburn,2021_22,Away,Blackburn,-13,1.8333,3.01,✅ Excellent,loss,-1.0
2021-08-14,Swansea vs Sheffield United,2021_22,Home,Swansea,-9,2.5,3.03,✅ Good,loss,-1.0
2021-08-14,Swansea vs Sheffield United,2021_22,Away,Sheffield United,-9,2.3529,2.47,✅ Fair,loss,-1.0
2021-08-14,West Brom vs Luton,2021_22,Away,Luton,-1,3.5882,5.4,✅ Good,loss,-1.0
2021-08-14,Reading vs Preston,2021_22,Away,Preston,-8,2.4348,3.42,✅ Good,loss,-1.0
2021-08-14,Middlesbrough vs Bristol City,2021_22,Draw,Draw,6,3.0,3.45,✅ Fair,loss,-1.0
2021-08-14,Middlesbrough vs Bristol City,2021_22,Away,Bristol City,6,2.8696,4.87,✅ Excellent,loss,-1.0
2021-08-14,Nott'm Forest vs Bournemouth,2021_22,Home,Nott'm Forest,-5,2.7333,3.44,✅ Good,loss,-1.0
