Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-06,Bournemouth vs West Brom,2021_22,championship,Home,-1,2.1,2.31,✅ Fair,loss,-1.0
2021-08-07,Sheffield United vs Birmingham,2021_22,championship,Draw,10,3.11,3.45,✅ Fair,loss,-1.0
2021-08-07,Cardiff vs Barnsley,2021_22,championship,Home,5,2.11,2.28,✅ Fair,loss,-1.0
2021-08-07,QPR vs Millwall,2021_22,championship,Home,11,1.6,2.1,✅ Excellent,loss,-1.0
2021-08-07,Blackburn vs Swansea,2021_22,championship,Draw,6,3.0,3.29,✅ Fair,loss,-1.0
2021-08-07,Blackburn vs Swansea,2021_22,championship,Away,6,2.87,3.53,✅ Good,loss,-1.0
2021-08-07,Derby vs Huddersfield,2021_22,championship,Home,-4,2.14,4.64,✅ Excellent,loss,-1.0
2021-08-07,Luton vs Peterboro,2021_22,championship,Draw,6,3.0,3.42,✅ Fair,loss,-1.0
2021-08-07,Luton vs Peterboro,2021_22,championship,Away,6,2.87,3.25,✅ Fair,loss,-1.0
2021-08-07,Bristol City vs Blackpool,2021_22,championship,Home,-1,2.1,2.22,✅ Fair,loss,-1.0
2021-08-07,Stoke vs Reading,2021_22,championship,Away,2,3.7,3.75,✅ Fair,loss,-1.0
2021-08-08,Fulham vs Middlesbrough,2021_22,championship,Home,9,1.75,1.92,✅ Fair,loss,-1.0
2021-08-08,Coventry vs Nott'm Forest,2021_22,championship,Home,11,1.6,2.51,✅ Excellent,win,1.51
2021-08-14,Millwall vs Blackburn,2021_22,championship,Away,-13,1.83,3.01,✅ Excellent,loss,-1.0
2021-08-14,Swansea vs Sheffield United,2021_22,championship,Home,-9,2.5,3.03,✅ Good,loss,-1.0
2021-08-14,Swansea vs Sheffield United,2021_22,championship,Away,-9,2.35,2.47,✅ Fair,loss,-1.0
2021-08-14,West Brom vs Luton,2021_22,championship,Away,-1,3.59,5.4,✅ Good,loss,-1.0
2021-08-14,Reading vs Preston,2021_22,championship,Away,-8,2.43,3.42,✅ Good,loss,-1.0
2021-08-14,Middlesbrough vs Bristol City,2021_22,championship,Draw,6,3.0,3.45,✅ Fair,loss,-1.0
2021-08-14,Middlesbrough vs Bristol City,2021_22,championship,Away,6,2.87,4.87,✅ Excellent,loss,-1.0
2021-08-14,Nott'm Forest vs Bournemouth,2021_22,championship,Home,-5,2.73,3.44,✅ Good,loss,-1.0
2021-08-14,Huddersfield vs Fulham,2021_22,championship,Home,-7,2.67,4.35,✅ Excellent,loss,-1.0
2021-08-14,Huddersfield vs Fulham,2021_22,championship,Draw,-7,3.2,3.42,✅ Fair,loss,-1.0
2021-08-14,Birmingham vs Stoke,2021_22,championship,Home,-4,2.14,2.75,✅ Good,loss,-1.0
2021-08-14,Barnsley vs Coventry,2021_22,championship,Away,-10,1.94,3.93,✅ Excellent,loss,-1.0
2021-08-14,Peterboro vs Derby,2021_22,championship,Away,-2,2.65,3.41,✅ Good,loss,-1.0
2021-08-14,Hull vs QPR,2021_22,championship,Away,-15,2.0,2.66,✅ Good,win,1.66
2021-08-14,Blackpool vs Cardiff,2021_22,championship,Away,-10,1.94,2.41,✅ Good,win,1.41
2021-08-17,Blackpool vs Coventry,2021_22,championship,Draw,-11,2.67,3.15,✅ Good,loss,-1.0
2021-08-17,Huddersfield vs Preston,2021_22,championship,Draw,-11,2.67,3.15,✅ Good,loss,-1.0
2021-08-17,Huddersfield vs Preston,2021_22,championship,Away,-11,2.67,3.06,✅ Fair,loss,-1.0
2021-08-17,Millwall vs Fulham,2021_22,championship,Home,-14,2.0,3.73,✅ Excellent,loss,-1.0
2021-08-17,Millwall vs Fulham,2021_22,championship,Away,-14,2.0,2.18,✅ Fair,win,1.18
2021-08-17,Peterboro vs Cardiff,2021_22,championship,Away,-13,1.83,2.4,✅ Good,loss,-1.0
2021-08-17,Swansea vs Stoke,2021_22,championship,Home,-3,3.07,3.1,✅ Fair,loss,-1.0
2021-08-17,Reading vs Bristol City,2021_22,championship,Home,5,2.11,2.29,✅ Fair,loss,-1.0
2021-08-18,Nott'm Forest vs Blackburn,2021_22,championship,Away,-9,2.35,2.98,✅ Good,win,1.98
2021-08-18,West Brom vs Sheffield United,2021_22,championship,Away,-6,2.64,3.6,✅ Good,loss,-1.0
2021-08-18,Middlesbrough vs QPR,2021_22,championship,Away,-5,2.93,3.02,✅ Fair,win,2.02
2021-08-18,Birmingham vs Bournemouth,2021_22,championship,Home,-5,2.73,3.08,✅ Fair,loss,-1.0
2021-08-18,Hull vs Derby,2021_22,championship,Draw,-7,3.2,3.55,✅ Fair,loss,-1.0
2021-08-18,Hull vs Derby,2021_22,championship,Away,-7,3.2,4.23,✅ Good,win,3.23
2021-08-20,Bristol City vs Swansea,2021_22,championship,Away,-2,2.65,3.42,✅ Good,win,2.42
2021-08-21,Derby vs Middlesbrough,2021_22,championship,Home,-1,2.1,2.99,✅ Excellent,loss,-1.0
2021-08-21,Stoke vs Nott'm Forest,2021_22,championship,Home,7,1.77,1.89,✅ Fair,win,0.89
2021-08-21,Sheffield United vs Huddersfield,2021_22,championship,Draw,6,3.0,3.79,✅ Good,loss,-1.0
2021-08-21,Sheffield United vs Huddersfield,2021_22,championship,Away,6,2.87,5.54,✅ Excellent,win,4.54
2021-08-21,Preston vs Peterboro,2021_22,championship,Draw,4,3.17,3.25,✅ Fair,loss,-1.0
2021-08-21,Cardiff vs Millwall,2021_22,championship,Home,11,1.6,2.28,✅ Excellent,win,1.28
2021-08-21,Luton vs Birmingham,2021_22,championship,Home,8,2.05,2.1,✅ Fair,loss,-1.0
2021-08-21,Luton vs Birmingham,2021_22,championship,Draw,8,3.0,3.34,✅ Fair,loss,-1.0
2021-08-21,Bournemouth vs Blackpool,2021_22,championship,Draw,5,3.7,3.73,✅ Fair,win,2.73
2021-08-21,Bournemouth vs Blackpool,2021_22,championship,Away,5,3.89,5.33,✅ Good,loss,-1.0
2021-08-21,Blackburn vs West Brom,2021_22,championship,Home,4,2.38,3.77,✅ Excellent,loss,-1.0
