Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-07,Wycombe vs Accrington,2021_22,league1,Draw,1,2.97,3.42,✅ Fair,loss,-1.0
2021-08-07,Wycombe vs Accrington,2021_22,league1,Away,1,3.37,3.71,✅ Fair,loss,-1.0
2021-08-07,Sunderland vs Wigan,2021_22,league1,Draw,-1,3.17,3.53,✅ Fair,loss,-1.0
2021-08-07,Sunderland vs Wigan,2021_22,league1,Away,-1,3.54,3.9,✅ Fair,loss,-1.0
2021-08-07,Charlton vs Sheffield Weds,2021_22,league1,Home,2,2.16,2.52,✅ Good,loss,-1.0
2021-08-07,Ipswich vs Morecambe,2021_22,league1,Away,6,3.57,5.01,✅ Good,loss,-1.0
2021-08-07,Fleetwood Town vs Portsmouth,2021_22,league1,Home,-6,3.0,3.08,✅ Fair,loss,-1.0
2021-08-07,Fleetwood Town vs Portsmouth,2021_22,league1,Away,-6,2.16,2.37,✅ Fair,win,1.37
2021-08-07,Doncaster vs AFC Wimbledon,2021_22,league1,Away,-8,2.1,3.5,✅ Excellent,win,2.5
2021-08-07,Gillingham vs Lincoln,2021_22,league1,Home,2,2.16,2.96,✅ Good,loss,-1.0
2021-08-07,Crewe vs Cheltenham,2021_22,league1,Home,8,1.91,1.97,✅ Fair,loss,-1.0
2021-08-07,Cambridge vs Oxford,2021_22,league1,Away,-16,1.8,2.05,✅ Good,loss,-1.0
2021-08-07,Bolton vs Milton Keynes Dons,2021_22,league1,Away,-5,2.22,2.93,✅ Good,loss,-1.0
2021-08-14,AFC Wimbledon vs Bolton,2021_22,league1,Home,2,2.16,2.71,✅ Good,loss,-1.0
2021-08-14,Burton vs Ipswich,2021_22,league1,Home,-1,2.49,2.9,✅ Good,win,1.9
2021-08-14,Burton vs Ipswich,2021_22,league1,Draw,-1,3.17,3.21,✅ Fair,loss,-1.0
2021-08-14,Cheltenham vs Wycombe,2021_22,league1,Draw,-9,2.64,3.11,✅ Good,loss,-1.0
2021-08-14,Lincoln vs Fleetwood Town,2021_22,league1,Home,5,2.0,2.13,✅ Fair,win,1.13
2021-08-14,Milton Keynes Dons vs Sunderland,2021_22,league1,Home,3,2.87,3.26,✅ Fair,loss,-1.0
2021-08-14,Milton Keynes Dons vs Sunderland,2021_22,league1,Draw,3,2.75,3.32,✅ Good,loss,-1.0
2021-08-14,Morecambe vs Shrewsbury,2021_22,league1,Home,-2,2.09,2.89,✅ Good,win,1.89
2021-08-14,Oxford vs Charlton,2021_22,league1,Home,5,2.0,2.45,✅ Good,win,1.45
2021-08-14,Plymouth vs Gillingham,2021_22,league1,Draw,-14,2.0,3.39,✅ Excellent,loss,-1.0
2021-08-14,Sheffield Weds vs Doncaster,2021_22,league1,Draw,11,2.38,3.7,✅ Excellent,loss,-1.0
2021-08-14,Sheffield Weds vs Doncaster,2021_22,league1,Away,11,4.75,4.99,✅ Fair,loss,-1.0
2021-08-14,Wigan vs Rotherham,2021_22,league1,Home,-2,2.09,2.63,✅ Good,win,1.63
2021-08-14,Portsmouth vs Crewe,2021_22,league1,Away,-3,2.4,4.16,✅ Excellent,loss,-1.0
2021-08-17,Sheffield Weds vs Fleetwood Town,2021_22,league1,Home,12,1.55,1.95,✅ Good,win,0.95
2021-08-17,Portsmouth vs Shrewsbury,2021_22,league1,Draw,11,2.38,3.58,✅ Excellent,loss,-1.0
2021-08-17,Portsmouth vs Shrewsbury,2021_22,league1,Away,11,4.75,5.05,✅ Fair,loss,-1.0
2021-08-17,Plymouth vs Cambridge,2021_22,league1,Away,-7,2.33,3.6,✅ Excellent,loss,-1.0
2021-08-17,Oxford vs Crewe,2021_22,league1,Draw,7,2.87,3.65,✅ Good,loss,-1.0
2021-08-17,Morecambe vs Rotherham,2021_22,league1,Home,-2,2.09,3.63,✅ Excellent,loss,-1.0
